seqnames	start	end	width	strand	Conc	Conc_fs	Conc_control	Fold	p.value	FDR
chr20	20216061	20216461	401	*	5.92692901604302	4.0366295885078	6.37596151215113	-2.24914752347647	6.46837112136038e-18	6.2639705939254e-14
chr11	120835695	120836095	401	*	4.03649595970726	5.25491185352785	2.46536561999667	2.60604418270503	6.15657175525082e-16	2.96085861731583e-12
chr4	23333934	23334334	401	*	4.18922606721498	5.3650290436215	2.75640957046774	2.54842551122258	9.17242446504283e-16	2.96085861731583e-12
chr7	28355714	28356114	401	*	4.727974008208	5.75306839395354	3.67643652654531	1.99892875181464	2.66422184159989e-13	6.45008107851334e-10
chr6	120816836	120817236	401	*	3.9973694273606	5.1363581090505	2.6713492472721	2.23418626091195	1.61567562782157e-12	3.12924055596482e-09
chr1	165543762	165544162	401	*	5.19532337357677	3.22893297207322	5.6516603894467	-2.28242750091688	1.96951591209888e-12	3.17879868212759e-09
chr11	22349526	22349926	401	*	5.17296262259814	3.33041924600668	5.61718982175662	-2.16401540639074	3.24018127539596e-12	4.48255935299064e-09
chr19	2664131	2664531	401	*	4.25113337106051	5.30444532396352	3.13820850881413	2.02443131862004	6.10944112712426e-12	7.39547848438391e-09
chr11	12216212	12216612	401	*	4.94879019953034	2.42294517991045	5.44773643478226	-2.7792852085093	8.98991978681008e-12	9.10040091706461e-09
chr2	217729706	217730106	401	*	4.32925214618447	5.35298763986847	3.28057652268975	1.93377363047595	9.39735741126044e-12	9.10040091706461e-09
chr13	112861894	112862294	401	*	4.67043737526323	1.42363240573007	5.20382873910299	-3.32851260075632	1.13382221957309e-11	9.98175852213257e-09
chr8	4107012	4107412	401	*	4.72590803223248	1.74808136089074	5.24849815668539	-3.11630905897256	1.25277997614855e-11	1.01099344075188e-08
chr7	3181463	3181863	401	*	4.65452075892468	1.42373173353136	5.18732588854154	-3.30620218828805	1.49356871186787e-11	1.0418877109367e-08
chr7	55410664	55411064	401	*	4.69101281127824	1.59412753872162	5.21864309908618	-3.2063973571429	1.50623997863629e-11	1.0418877109367e-08
chr4	111398889	111399289	401	*	5.20538618949022	3.27814626712308	5.65801761720742	-2.22665183981252	1.87075121913043e-11	1.20775698707061e-08
chr4	28523686	28524086	401	*	4.6890729956587	2.12210193776768	5.1905079962515	-2.80561582389546	2.01938932257378e-11	1.22223538748778e-08
chr1	26723509	26723909	401	*	4.79795705482393	2.33033977312609	5.29324826240294	-2.70274950974417	4.68397884016607e-11	2.66821476989225e-08
chr10	6163593	6163993	401	*	4.56087944072473	1.00241196229501	5.10443576006153	-3.49672167676908	6.08497399212165e-11	3.27371600776145e-08
chr15	33160694	33161094	401	*	2.954438840197	4.27761511642771	0.948181683511422	2.98465502546057	1.29662448842174e-10	6.6086902873032e-08
chr12	65511614	65512014	401	*	4.60728538156449	2.00623103861352	5.11072673458422	-2.80111104727723	1.61638142771062e-10	7.52019158855579e-08
chr16	1651382	1651782	401	*	4.6504002977743	1.88001759331571	5.16309975249393	-2.91453821393936	1.63077264931507e-10	7.52019158855579e-08
chr2	210814310	210814710	401	*	3.44389724251815	4.61295567296101	2.03145633751426	2.37533703825452	3.05416890867295e-10	1.34438962325404e-07
chr4	157713237	157713637	401	*	4.51458548616486	1.74501074615296	5.02724342790435	-2.91446655463221	4.44545823722257e-10	1.81960211977987e-07
chr6	17418511	17418911	401	*	4.4774651286637	1.59079918452454	4.99589167068016	-2.99359073696766	4.5095467652537e-10	1.81960211977987e-07
chr21	24658789	24659189	401	*	3.03751945449388	4.30363593547933	1.28815929132936	2.67838654144314	7.08667117638645e-10	2.74509294688505e-07
chr1	41320161	41320561	401	*	4.36563289057882	5.34066187142769	3.41431453613285	1.79787333497799	7.4815290391029e-10	2.77738872946742e-07
