seqnames	start	end	width	strand	Conc	Conc_sp	Conc_control	Fold	p.value	FDR
chr11	120835695	120836095	401	*	4.42267113906938	5.73590659872254	2.46536561999667	3.11348582657407	6.12697243286565e-22	5.9333601039871e-18
chr6	120816836	120817236	401	*	4.43002283023312	5.6984335775455	2.6713492472721	2.83267278465985	3.17739229016455e-19	1.02566223126512e-15
chr4	23333934	23334334	401	*	4.34881837680276	5.57333127389446	2.75640957046774	2.78181416591487	4.89893368465032e-18	1.18603184505384e-14
chr15	33160694	33161094	401	*	3.53802285179811	4.95366902614849	0.948181683511422	3.76561033358117	3.39887333298256e-15	6.58293787132062e-12
chr1	87937770	87938170	401	*	3.50053674747565	4.86873598620529	1.24390017506389	3.32213632786791	3.2801182552366e-14	4.53780931195874e-11
chr7	30001967	30002367	401	*	4.18397790591735	5.35441998777785	2.76738805248359	2.52449901676971	4.85587013139171e-14	4.70242463523974e-11
chr1	208527233	208527633	401	*	3.7413116719265	4.99048214936136	2.05850671299404	2.83105667592012	1.19402458179226e-13	1.05117582273421e-10
chr2	122516887	122517287	401	*	3.55147661343183	4.85235851887686	1.65233464355353	3.00206403297297	3.05073935950366e-13	2.2725661505718e-10
chr5	134436437	134436837	401	*	5.04292076505795	5.98395208912971	4.15408537782321	1.75293688392332	5.30686715280048e-13	3.67083582197999e-10
chr4	88277617	88278017	401	*	3.457263598892	4.77106396978604	1.49722924747866	3.06916862480286	1.27975179656478e-12	8.26207759862223e-10
chr2	217729706	217730106	401	*	4.39337468632612	5.44663018101261	3.28057652268975	2.0158227961507	2.0029842987058e-12	1.21230624679169e-09
chrX	106450404	106450804	401	*	3.28284281034225	4.60961599016996	1.25837026511911	3.14256693069333	2.7918997059317e-12	1.50204204179125e-09
chr2	33214988	33215388	401	*	3.02608892593233	4.44159076995713	0.437406277078873	3.74699840007112	1.18230282760833e-11	6.02601083292585e-09
chr19	17606144	17606544	401	*	4.15518077320237	5.2942407892337	2.82896364553438	2.28494860597263	1.32566709352378e-11	6.41888006684214e-09
chr1	41320161	41320561	401	*	4.48493567328958	5.51899081078632	3.41431453613285	1.96850196907585	2.8839652414841e-11	1.21427475645791e-08
chr21	24658789	24659189	401	*	3.22069896463983	4.52874802937598	1.28815929132936	2.97358974854511	3.40077936425536e-11	1.37221447347704e-08
chr4	26230708	26231108	401	*	3.13532988827036	4.45642323321469	1.13949640846739	3.00550968649137	4.60444947705499e-11	1.78357954943202e-08
chr5	4995279	4995679	401	*	2.92219078290261	4.31865057894798	0.477818782292238	3.60148949930635	1.12944047765893e-10	4.05092651320337e-08
chr12	117019933	117020333	401	*	2.90911646926538	4.33565462399994	0.228691182650486	3.61287778976257	1.60750735945368e-10	5.48399921720258e-08
chr12	26298820	26299220	401	*	2.96783511822061	4.29366197509585	0.948181683511422	3.11615631116156	2.15550731272252e-10	6.95797760546829e-08
chr2	85246263	85246663	401	*	4.41966736662104	5.4092665788693	3.44024666294664	1.86173279661168	2.4080422028804e-10	7.5224131266754e-08
chr1	176609874	176610274	401	*	2.92744647894424	4.30241256641379	0.628354381654306	3.32900040130172	3.16736132133358e-10	9.58522719868575e-08
chr2	216406900	216407300	401	*	3.20231609587615	4.46353985940664	1.47257043180946	2.76625989229326	3.65330111768411e-10	1.07207781889857e-07
chr19	2664131	2664531	401	*	4.15998798106392	5.17075564864465	3.13820850881413	1.85468119918069	3.937436371694e-10	1.12147452422014e-07
chr9	8188776	8189176	401	*	4.17636679201766	5.2192833580276	3.08650268813873	1.93399455389498	5.00893881036861e-10	1.38590181256027e-07
chr11	21537863	21538263	401	*	2.88977562504252	4.21740410915119	0.860930851847717	3.0585019409345	6.54629143794214e-10	1.76095239680644e-07
chr11	16897371	16897771	401	*	4.10356250444704	5.21081761455579	2.86168882763926	2.13233088910812	8.90493707553684e-10	2.16679895780399e-07
chr1	185528253	185528653	401	*	2.67528796751852	4.07205135697913	0.228739053048803	3.40544491982758	1.04650845982518e-09	2.38137162248409e-07
chr13	85137506	85137906	401	*	3.25984781298851	4.41213279540862	1.89647203290599	2.41364251341663	1.94759628277657e-09	4.10011356574093e-07
chr4	2297782	2298182	401	*	3.76340817223434	4.87349505208191	2.51429511093413	2.12044177597238	2.03344190963766e-09	4.18743606828909e-07
chr18	66432705	66433105	401	*	2.8938938454609	4.19228422132087	1.00614514274621	2.90333295871092	2.85142087973094e-09	5.41434505868911e-07
chr5	153352582	153352982	401	*	3.72811969668066	4.78342343707334	2.61071471860766	2.07482256370468	2.95606750299456e-09	5.43918280937717e-07
chr12	94941519	94941919	401	*	3.32206469099016	4.50793415465372	1.85810843360402	2.44485700605422	3.17027107139689e-09	5.68535278803842e-07
chr10	91883887	91884287	401	*	4.41432621172759	5.34712579026227	3.54000797622396	1.64850480727116	3.78319564673065e-09	6.66117575326175e-07
chr15	54567394	54567794	401	*	2.71217232021432	4.03431797390564	0.711084033803336	3.06515329021019	6.28987908526172e-09	9.66844270820231e-07
chr5	63155279	63155679	401	*	2.97857781176944	4.24484211117016	1.2286198433999	2.74970117384394	6.89418613241668e-09	1.0431765391613e-06
chr2	120749807	120750207	401	*	3.14401022056915	4.31847026455668	1.71528142696865	2.43229139714836	1.10522860886658e-08	1.55116432583536e-06
chr4	98604227	98604627	401	*	3.53443971179432	4.68142503143749	2.18611070648915	2.28488832790919	1.31318727492201e-08	1.75699020408351e-06
chr20	38659237	38659637	401	*	3.59033926031461	4.66763697573239	2.42208677210811	2.08329726096415	1.34259887548719e-08	1.75699020408351e-06
chr12	4939331	4939731	401	*	4.39297860376587	5.29055019271941	3.57830275034771	1.58838829223613	1.77514107450342e-08	2.23252807344041e-06
chr14	101068316	101068716	401	*	3.51321924141365	4.58252877935582	2.36373251939366	2.0244415397936	1.89682278785035e-08	2.29610398469284e-06
chr2	146203116	146203516	401	*	2.79229347638485	4.08334441974742	0.937481826721877	2.76951387721806	1.96314135571243e-08	2.34704455416286e-06
chr9	110640797	110641197	401	*	3.04263192753468	4.19955636646074	1.66590764467849	2.40883159040144	2.08252095916615e-08	2.42977505645361e-06
chr3	16658110	16658510	401	*	3.38691599140132	4.44897115424579	2.2541740716746	2.05897867205536	2.39311088254156e-08	2.72645715135676e-06
chr1	184219396	184219796	401	*	2.76022576410467	4.00431117892482	1.09666122387427	2.60717063843389	4.12959038734187e-08	4.4933655405639e-06
chr14	42316688	42317088	401	*	3.28710628981852	4.41258336638382	1.99774314419667	2.21743149129848	4.81410883342314e-08	5.12305823548019e-06
chr17	10073116	10073516	401	*	2.91457462844862	4.06299599488087	1.56218932741828	2.53130186225369	5.21701225946539e-08	5.41997050047093e-06
chr2	186664507	186664907	401	*	3.02265652928622	4.21170680264546	1.54867325131395	2.49378919145054	5.31698882222985e-08	5.41997050047093e-06
chr13	66037102	66037502	401	*	2.62380545879794	3.91095460660177	0.786135895345021	2.91938991667436	5.45535591351631e-08	5.50309027775958e-06
chr5	82986317	82986717	401	*	3.08293376407614	4.24452579734663	1.69261021766188	2.28748915335933	5.87674247719582e-08	5.86704888135715e-06
chr2	6653464	6653864	401	*	2.48746186939992	3.85735665984756	0.220322609622603	3.13307814771354	6.07813751975474e-08	6.0061922185005e-06
chr7	141389328	141389728	401	*	3.00889908515338	4.1934602889382	1.54904040607151	2.35861831987769	6.371718172422e-08	6.11890576978288e-06
chr11	4697761	4698161	401	*	2.45801238125688	3.84622045047051	0.0714172103726465	3.14410869999714	6.39390624710671e-08	6.11890576978288e-06
chr2	44706740	44707140	401	*	3.07825970273888	4.27043457256813	1.59433651250553	2.37121326560173	6.44494411934999e-08	6.11890576978288e-06
chr7	94424335	94424735	401	*	2.6635524622915	3.91154982917526	0.985215083256153	2.69813823375104	7.02002267123051e-08	6.53672111040349e-06
chr12	42893107	42893507	401	*	3.09033586229227	4.20915425676806	1.81857800837318	2.1939472466662	7.14203698587908e-08	6.58699868297648e-06
chr2	235917425	235917825	401	*	3.09774144150191	4.23465157610634	1.77744390942736	2.28641835150384	7.45828248095825e-08	6.81377429675468e-06
chr4	8144913	8145313	401	*	3.56290457979292	4.59675401004987	2.49272571798995	1.9184305537087	8.29361998504576e-08	7.30757621048656e-06
chr11	34161701	34162101	401	*	2.99291731874	4.20248211679415	1.45197405604231	2.42636626269072	8.30063386156053e-08	7.30757621048656e-06
chr2	143355932	143356332	401	*	3.78014245887655	4.83635845413721	2.66067882459186	1.95519750659716	9.0738112986183e-08	7.77617598370085e-06
chr14	29216368	29216768	401	*	4.29071023488419	5.17044040800764	3.50479632509032	1.60193041308767	9.23825198842237e-08	7.84765195227037e-06
chr12	9699587	9699987	401	*	2.79740247593394	4.01396397482581	1.23266459190508	2.51857698451983	1.13031607176619e-07	9.04626515618495e-06
chr11	32073109	32073509	401	*	3.97427159613308	4.92857007607275	3.06154810956983	1.73200290189801	1.29033503326988e-07	1.0159028018037e-05
chr12	82996439	82996839	401	*	3.15599818669024	4.27898904798959	1.87324317615896	2.1601007034217	1.39713122697429e-07	1.05701709390774e-05
chrX	88883250	88883650	401	*	2.74592111419539	3.97549290244982	1.1355456884027	2.52879982057364	1.58664074402895e-07	1.16371715948062e-05
chr9	108322734	108323134	401	*	2.36384984137518	3.77870680864752	0	3.51434491227504	1.58944843922353e-07	1.16371715948062e-05
chr15	94707254	94707654	401	*	2.3750400471367	3.8025501456218	0	3.36297727628388	1.64793479353085e-07	1.19094033884722e-05
chr3	157753380	157753780	401	*	3.50358012084538	4.48516001465714	2.53972944615543	1.83447195028942	1.78342300482432e-07	1.27629485516294e-05
