seqnames	start	end	width	strand	Conc	Conc_sp	Conc_control	Fold	p.value	FDR
chr11	120835695	120836095	401	*	4.42267113906938	5.73590659872254	2.46536561999667	3.11348582657407	6.12697243286565e-22	5.9333601039871e-18
chr20	20216061	20216461	401	*	5.81975500663317	1.74160359714224	6.37596151215113	-4.38321245612058	1.02004752294042e-19	4.93907010607752e-16
chr6	120816836	120817236	401	*	4.43002283023312	5.6984335775455	2.6713492472721	2.83267278465985	3.17739229016455e-19	1.02566223126512e-15
chr4	23333934	23334334	401	*	4.34881837680276	5.57333127389446	2.75640957046774	2.78181416591487	4.89893368465032e-18	1.18603184505384e-14
chr15	33160694	33161094	401	*	3.53802285179811	4.95366902614849	0.948181683511422	3.76561033358117	3.39887333298256e-15	6.58293787132062e-12
chr11	18395956	18396356	401	*	6.15482545551577	4.64895955677992	6.55966385906636	-1.8509707320225	1.21007014716903e-14	1.95305321753082e-11
chr1	87937770	87938170	401	*	3.50053674747565	4.86873598620529	1.24390017506389	3.32213632786791	3.2801182552366e-14	4.53780931195874e-11
chr11	22349526	22349926	401	*	5.10261885744254	2.29530810498852	5.61718982175662	-3.19073096904508	4.07136370249895e-14	4.70242463523974e-11
chr1	165543762	165544162	401	*	5.12930286098974	2.1567307519241	5.6516603894467	-3.31827887898916	4.7146558390544e-14	4.70242463523974e-11
chr7	30001967	30002367	401	*	4.18397790591735	5.35441998777785	2.76738805248359	2.52449901676971	4.85587013139171e-14	4.70242463523974e-11
chr1	208527233	208527633	401	*	3.7413116719265	4.99048214936136	2.05850671299404	2.83105667592012	1.19402458179226e-13	1.05117582273421e-10
chr4	111398889	111399289	401	*	5.12624631126959	1.92325980764589	5.65801761720742	-3.53477213921624	1.37917875787185e-13	1.11299725760259e-10
chr2	122516887	122517287	401	*	3.55147661343183	4.85235851887686	1.65233464355353	3.00206403297297	3.05073935950366e-13	2.2725661505718e-10
chr5	134436437	134436837	401	*	5.04292076505795	5.98395208912971	4.15408537782321	1.75293688392332	5.30686715280048e-13	3.67083582197999e-10
chr4	88277617	88278017	401	*	3.457263598892	4.77106396978604	1.49722924747866	3.06916862480286	1.27975179656478e-12	8.26207759862223e-10
chr2	217729706	217730106	401	*	4.39337468632612	5.44663018101261	3.28057652268975	2.0158227961507	2.0029842987058e-12	1.21230624679169e-09
chr8	142816243	142816643	401	*	5.0583781880177	2.7644810492246	5.54178180840021	-2.61642924345951	2.32651131561819e-12	1.32529032826156e-09
chrX	106450404	106450804	401	*	3.28284281034225	4.60961599016996	1.25837026511911	3.14256693069333	2.7918997059317e-12	1.50204204179125e-09
chr2	33214988	33215388	401	*	3.02608892593233	4.44159076995713	0.437406277078873	3.74699840007112	1.18230282760833e-11	6.02601083292585e-09
chr19	17606144	17606544	401	*	4.15518077320237	5.2942407892337	2.82896364553438	2.28494860597263	1.32566709352378e-11	6.41888006684214e-09
chr15	57133255	57133655	401	*	5.14597872120646	2.73972543113761	5.63724429752252	-2.6951863388119	1.7039431878943e-11	7.85761230074687e-09
chr4	189503049	189503449	401	*	5.0536657845939	3.08147533856529	5.51054247729611	-2.27293825024312	2.36833557826919e-11	1.04249826090722e-08
chr1	41320161	41320561	401	*	4.48493567328958	5.51899081078632	3.41431453613285	1.96850196907585	2.8839652414841e-11	1.21427475645791e-08
