seqnames	start	end	width	strand	Conc	Conc_fs	Conc_control	Fold	p.value	FDR
chr11	120835695	120836095	401	*	4.03649595970726	5.25491185352785	2.46536561999667	2.60604418270503	6.15657175525082e-16	2.96085861731583e-12
chr4	23333934	23334334	401	*	4.18922606721498	5.3650290436215	2.75640957046774	2.54842551122258	9.17242446504283e-16	2.96085861731583e-12
chr7	28355714	28356114	401	*	4.727974008208	5.75306839395354	3.67643652654531	1.99892875181464	2.66422184159989e-13	6.45008107851334e-10
chr6	120816836	120817236	401	*	3.9973694273606	5.1363581090505	2.6713492472721	2.23418626091195	1.61567562782157e-12	3.12924055596482e-09
chr19	2664131	2664531	401	*	4.25113337106051	5.30444532396352	3.13820850881413	2.02443131862004	6.10944112712426e-12	7.39547848438391e-09
chr2	217729706	217730106	401	*	4.32925214618447	5.35298763986847	3.28057652268975	1.93377363047595	9.39735741126044e-12	9.10040091706461e-09
chr15	33160694	33161094	401	*	2.954438840197	4.27761511642771	0.948181683511422	2.98465502546057	1.29662448842174e-10	6.6086902873032e-08
chr2	210814310	210814710	401	*	3.44389724251815	4.61295567296101	2.03145633751426	2.37533703825452	3.05416890867295e-10	1.34438962325404e-07
chr21	24658789	24659189	401	*	3.03751945449388	4.30363593547933	1.28815929132936	2.67838654144314	7.08667117638645e-10	2.74509294688505e-07
chr1	41320161	41320561	401	*	4.36563289057882	5.34066187142769	3.41431453613285	1.79787333497799	7.4815290391029e-10	2.77738872946742e-07
chr17	4899259	4899659	401	*	3.88662235261035	4.96271110605234	2.72123237918038	2.025984053609	9.15703663475301e-10	2.99666416352634e-07
chr4	26230708	26231108	401	*	2.94812900499818	4.22853738910634	1.13949640846739	2.69133545711987	1.10449858488855e-09	3.34248884251897e-07
chr13	85137506	85137906	401	*	3.23306087636676	4.37585885825805	1.89647203290599	2.34202222300698	2.35074084543009e-09	6.32349287420695e-07
chr1	208527233	208527633	401	*	3.31074212542015	4.42204426465485	2.05850671299404	2.22766065863035	3.46982088059286e-09	8.84256458096348e-07
chr1	185528253	185528653	401	*	2.56621988060237	3.94710942020402	0.228739053048803	3.08855573309049	4.26992710918191e-09	1.04824220577809e-06
chr6	165232245	165232645	401	*	4.15108307820948	5.07919354678059	3.28493295117548	1.71207884617869	4.32979019321805e-09	1.04824220577809e-06
chr3	54324184	54324584	401	*	3.50313359885891	4.57036419381185	2.35847409766447	2.07589595024517	7.69417215060101e-09	1.69341734332773e-06
chrX	106450404	106450804	401	*	2.84389539726779	4.06644853014753	1.25837026511911	2.52357122095556	9.09080977236813e-09	1.87309365607687e-06
chr2	122516887	122517287	401	*	3.06230567343985	4.23053789013952	1.65233464355353	2.32804202535645	9.28622137058645e-09	1.87349516151582e-06
chr9	8188776	8189176	401	*	4.03461531672262	5.00795461570475	3.08650268813873	1.71373881992567	1.95732296980972e-08	3.64513762300719e-06
chr10	2949885	2950285	401	*	3.58686256048631	4.6126961143486	2.53376485182357	1.97449405974674	2.99771541143622e-08	5.24049667312496e-06
chr7	30001967	30002367	401	*	3.72702126370904	4.70640626308327	2.76738805248359	1.8137555022643	3.41213578732998e-08	5.51702100749988e-06
chr13	34719152	34719552	401	*	4.22431015028423	5.13733385200645	3.38395501060447	1.63144090436097	4.01782249290441e-08	6.17596714623592e-06
chr20	63130293	63130693	401	*	4.23483005442025	5.13707136214029	3.41247072768352	1.5904041328748	5.29708271745732e-08	7.70806781694755e-06
chr4	152269597	152269997	401	*	2.86608549543254	4.06737866136981	1.35263118365749	2.41739652849457	5.73074692142598e-08	7.92807902672702e-06
chr2	35185946	35186346	401	*	2.53120921377105	3.87886786379362	0.395186852531463	2.8676008982802	6.07266592627793e-08	8.22469441302333e-06
chr1	87937770	87938170	401	*	2.74799448513224	3.94642396081535	1.24390017506389	2.33104794056277	6.70393567708334e-08	8.77309636444258e-06
chr18	3791213	3791613	401	*	2.77392827183007	3.97764415929149	1.25249292271891	2.4160852865979	8.51510253873012e-08	1.03075316231328e-05
chr17	66920827	66921227	401	*	4.59851049502372	5.37662766966506	3.96040083298058	1.31850048184741	1.1014195211468e-07	1.28507790876935e-05
chr4	98433704	98434104	401	*	3.58796496914071	4.61222043743553	2.53819525580533	1.88801403425044	1.15109877457114e-07	1.32705244439844e-05
chr6	61842006	61842406	401	*	2.51742540285193	3.81324637327015	0.641312249648461	2.6213147814063	1.18933042943709e-07	1.35499716219632e-05
chr3	29705867	29706267	401	*	2.86078836991293	4.00798774042954	1.51185572943099	2.27566100636104	1.64825347043203e-07	1.79344793344537e-05
chr1	22320469	22320869	401	*	2.76983740109273	3.94644124493405	1.33457583115407	2.30591345991	1.7922771901021e-07	1.92849025654986e-05
chr2	33214988	33215388	401	*	2.30033017338945	3.59320785665763	0.437406277078873	2.74231655631238	1.93208607803911e-07	2.05269675806288e-05
chr2	43811002	43811402	401	*	2.60176565899804	3.84660462269054	0.935370308794359	2.45251381182439	2.42973854932551e-07	2.37672607188568e-05
chr18	66432705	66433105	401	*	2.59035490148587	3.81253218152702	1.00614514274621	2.42114511997573	2.48831832656148e-07	2.40968746744213e-05
chr5	153352582	153352982	401	*	3.52956353317294	4.4872093866291	2.61071471860766	1.74112847730148	2.93398268502981e-07	2.75851342930375e-05
chr5	4995279	4995679	401	*	2.27476204673642	3.55240920552684	0.477818782292238	2.68687148308318	3.96739638901772e-07	3.52479510378418e-05
chr5	59744512	59744912	401	*	3.6106067792742	4.55285960448384	2.71959759164074	1.64120222552229	4.15892889109375e-07	3.59306007043687e-05
chr20	59679535	59679935	401	*	2.45132451022319	3.7066392946428	0.744830851303886	2.49703479484657	4.341553491185e-07	3.68803543935399e-05
chr4	169049000	169049400	401	*	4.03839359051748	4.91408458771953	3.25886382254281	1.44991742761587	4.80419828459956e-07	3.94269967695442e-05
chr4	2297782	2298182	401	*	3.52477060330982	4.52997996320261	2.51429511093413	1.71796224884734	4.97487986187637e-07	4.04846525902612e-05
chr2	207338259	207338659	401	*	3.35689589976103	4.35290288042563	2.3648489355555	1.84709266477862	5.13330871517196e-07	4.1083439336963e-05
chr9	107275026	107275426	401	*	2.3713109139555	3.63333184352869	0.638392120249327	2.52542319383589	6.66436519324194e-07	5.20465423639959e-05
chr15	54567394	54567794	401	*	2.35284321963999	3.59106087442301	0.711084033803336	2.48765388146629	7.08051861228362e-07	5.3990348221539e-05
chr4	171774674	171775074	401	*	4.17665728809598	5.02348482606744	3.4414439715509	1.44703269841943	7.32290095939491e-07	5.52570544341854e-05
chr21	24780914	24781314	401	*	2.77452981124353	3.9132343954743	1.44929363499703	2.17105351565794	8.27183845690658e-07	5.93366545308766e-05
chr7	130352392	130352792	401	*	5.03224793458861	5.6983815085403	4.5311986871515	1.06216359760438	8.38188807382431e-07	5.96839736080254e-05
chr11	21537863	21538263	401	*	2.41676910502633	3.63073116953616	0.860930851847717	2.33785381610607	8.45038428208456e-07	5.97324973632897e-05
chr18	29773277	29773677	401	*	2.38883844329432	3.67012845986853	0.576448773613749	2.53852503504232	1.07745760489172e-06	7.56094162737058e-05
chr8	94366582	94366982	401	*	2.65689692288082	3.84699046340308	1.17960482225892	2.30948796290565	1.0992709297896e-06	7.6585177583327e-05
chr1	184219396	184219796	401	*	2.53077508341865	3.70700322675156	1.09666122387427	2.213788905986	1.15522158286022e-06	7.93416014781445e-05
chrX	88883250	88883650	401	*	2.56800324876713	3.74368850618736	1.1355456884027	2.24510414019571	1.18510831793804e-06	8.02558667895945e-05
chr7	94424335	94424735	401	*	2.44682514147821	3.63194611913477	0.985215083256153	2.3150986148298	1.23161086135891e-06	8.17936506679201e-05
chr6	11785450	11785850	401	*	2.97422395929508	4.03751423304605	1.83865072764095	1.99070228443723	1.25805426729773e-06	8.28775341803484e-05
chr6	82144181	82144581	401	*	5.97988860373733	6.63203970567561	5.49437992624023	1.03548524681101	1.34319800309402e-06	8.72988554494127e-05
chr1	208224165	208224565	401	*	3.27343557232463	4.25446864823604	2.31063735608822	1.71211347806789	1.45102617734307e-06	9.16012881550203e-05
chr2	146203116	146203516	401	*	2.46320768282566	3.66821879688323	0.937481826721877	2.26404976788344	1.47257318442818e-06	9.16012881550203e-05
chr9	110640797	110641197	401	*	2.81330846854924	3.88172089197347	1.66590764467849	1.98257698169662	1.55930950542374e-06	9.49707751605253e-05
chr20	38659237	38659637	401	*	3.36118021187742	4.32973474137052	2.42208677210811	1.68216080236786	1.77138140816211e-06	0.000104660242750409
chrX	437731	438131	401	*	2.60342614741265	3.81578110919455	1.05305480063492	2.2838601734107	1.92667287304359e-06	0.000110401775754758
chr12	33324007	33324407	401	*	2.7181831367912	3.84954059211972	1.413022957157	2.03720891585892	2.05184662633555e-06	0.000116882839584903
chr6	92635664	92636064	401	*	2.65319465969109	3.77907910515708	1.36274478297725	2.15739075012931	2.12502691496047e-06	0.000120343629499867
chr1	80365529	80365929	401	*	2.4124470362096	3.63117927791334	0.840222527711098	2.3112839600813	2.26334829595793e-06	0.000123136319652003
chr12	117019933	117020333	401	*	2.08411016120452	3.37529830101742	0.228691182650486	2.51282009350655	2.35736597326372e-06	0.000127534816117798
chr12	82996439	82996839	401	*	2.96357604576914	4.00670633522703	1.87324317615896	1.85137255622006	2.69270156399814e-06	0.000138702776307223
chr12	26298820	26299220	401	*	2.3469222271527	3.51137374204435	0.948181683511422	2.19482642977197	2.8543690611817e-06	0.000143370684352985
chr2	142885537	142885937	401	*	2.48710243285875	3.66894525634467	1.03570912569186	2.16141044166558	2.88695615952418e-06	0.000143370684352985
chr12	42893107	42893507	401	*	2.88260610574526	3.91358514183269	1.81857800837318	1.81757076387337	3.21811262654468e-06	0.000155821013377293
chr7	20013813	20014213	401	*	2.62656980328717	3.81330323931009	1.15989907350107	2.18491460680357	3.46478833233576e-06	0.000163855106339769
chr6	129008066	129008466	401	*	2.77487611052795	3.84987020787497	1.61207105144542	1.9364995876244	3.6122271211574e-06	0.000166542409224283
chr14	29216368	29216768	401	*	4.14818975917732	4.93025385142069	3.50479632509032	1.33168086828359	3.88318517006771e-06	0.000172498922875852
chr1	224743570	224743970	401	*	3.93741527812616	4.74526577940533	3.25864927598219	1.31770342538756	4.05494186407793e-06	0.000179306196400597
chr8	90455287	90455687	401	*	2.25590224392215	3.46865951018258	0.704164885178712	2.32848874800973	4.20045349184088e-06	0.000183230592860302
chr5	103307359	103307759	401	*	2.77681024438386	3.81512496573293	1.69698601823217	1.89371272867256	4.53331958379809e-06	0.00019339500814758
chr7	84666624	84667024	401	*	3.87637090610562	4.70740786490176	3.16447716240569	1.36910318376421	4.68443963859567e-06	0.000198965409912985
chr8	61931662	61932062	401	*	2.69565810931734	3.77946402720965	1.51185572943099	1.99268459613982	4.70766959453048e-06	0.000199078918573944
chr2	4628958	4629358	401	*	3.00733912918323	4.03624255722598	1.94773484668613	1.75958518557733	5.35274877734744e-06	0.000222472185235333
chr10	25816397	25816797	401	*	4.01220589822029	4.8145616447997	3.34110386332046	1.2746990370826	5.77841304045307e-06	0.000237110813066727
chr10	91883887	91884287	401	*	4.1719461210627	4.94542110529327	3.54000797622396	1.20479935997395	5.96434996663191e-06	0.000241465915213509
chr14	104169474	104169874	401	*	3.40923731130834	4.30470603040949	2.59800009301717	1.4847911285021	6.00921990566457e-06	0.000241465915213509
chr9	22773875	22774275	401	*	2.56989406024031	3.67095856517375	1.34367245740614	2.03205789082033	6.04430248977461e-06	0.000241872005417262
chr17	10073116	10073516	401	*	2.60857635215195	3.63122228811404	1.56218932741828	1.9783086050995	6.83197493389862e-06	0.000268740881001157
chrX	1778760	1779160	401	*	2.333019600045	3.54893755115926	0.770491632251006	2.1952887532486	7.71023657747215e-06	0.000296161604737718
chr5	111668700	111669100	401	*	3.67586644518103	4.55374863524284	2.89287910012706	1.42719688644816	7.88732494149197e-06	0.000297201769390694
chr11	58689055	58689455	401	*	2.32513318940976	3.50947188910737	0.865969886083321	2.23645032104138	8.14481664632726e-06	0.000305714745748191
chr4	22630250	22630650	401	*	2.30589222407385	3.46639110982579	0.918769087448276	2.26856108875799	8.57391802043081e-06	0.000316907717976534
chr21	14888199	14888599	401	*	2.90436228915977	3.91493427923444	1.88298301856083	1.6895478218974	8.91397221269452e-06	0.000323306767444696
chr1	170145833	170146233	401	*	3.10738466032737	4.06251734048785	2.19313843760932	1.6863386556152	9.21899503838092e-06	0.000330144330756447
chr2	52866956	52867356	401	*	2.23982724428898	3.42032993019426	0.792583248938232	2.2461455379149	9.36893203079744e-06	0.000332012382666714
chr1	238113072	238113472	401	*	2.18935990264563	3.37631655844844	0.721986753871465	2.22142357604967	9.40085304582225e-06	0.000332012382666714
chr13	73188094	73188494	401	*	1.79713498810904	3.12331546043849	0	2.63572921568987	1.01480871071319e-05	0.0003516911260972
chr5	125301731	125302131	401	*	2.44284921863023	3.59108298608882	1.09099469222776	2.10087874371352	1.05801582225879e-05	0.000360768493758948
chr6	80467005	80467405	401	*	2.00791110628432	3.32715719462451	0.0212468561758024	2.49836593769106	1.14817224329003e-05	0.000384737024360576
chr11	106191779	106192179	401	*	1.60031632652212	3.00619787352927	0	2.8575957465495	1.16426863681154e-05	0.000387615974466799
chr12	30110900	30111300	401	*	3.9435953670577	4.7441807629045	3.27494774939828	1.27100863319387	1.19752981535495e-05	0.000395181063215535
chr12	4939331	4939731	401	*	4.17031810074531	4.91290125447432	3.57830275034771	1.17122538214772	1.21114783535779e-05	0.000395181063215535
chr8	59630860	59631260	401	*	4.08447766855137	4.86460501371077	3.44368119871043	1.22374791705784	1.21835973469516e-05	0.000395181063215535
chr11	4697761	4698161	401	*	1.93838562971868	3.2321693821913	0.0714172103726465	2.34027531416289	1.24970772268348e-05	0.000399103245624751
chr2	143355932	143356332	401	*	3.52045590391644	4.44487858873214	2.66067882459186	1.50174916979062	1.29248364655212e-05	0.000407700704664845
chr17	5191735	5192135	401	*	5.11100495678869	5.78917880721043	4.59631526621261	1.06274621985904	1.30246993530917e-05	0.000409516845893962
chr3	39268027	39268427	401	*	2.56407192296941	3.6316057482445	1.4187097713806	1.84655725827945	1.31860945815405e-05	0.000411916580411735
chr1	81023330	81023730	401	*	1.58585273159057	3.00547356490472	0	2.83538008895102	1.35816503533558e-05	0.000420206715724913
chr16	25751232	25751632	401	*	2.77203018641622	3.77875232476074	1.75849120965642	1.75221568910123	1.42246952136483e-05	0.000437307772853873
chr4	97517927	97518327	401	*	2.16766881516485	3.32820999081789	0.780422043294136	2.15512433109399	1.49891900140142e-05	0.000453610362799103
chr4	98604227	98604627	401	*	3.14348557926862	4.12169125275382	2.18611070648915	1.62073728040577	1.51152930509257e-05	0.000455609101308775
chr8	127995561	127995961	401	*	2.32070174116697	3.42178527613405	1.09443238512628	1.96052638988086	1.70590588715637e-05	0.00049446803818958
chrX	460930	461330	401	*	2.96312211356181	3.94563441722099	1.99747413854497	1.71233696910566	1.75067492129579e-05	0.000500104304950692
